Date,Stock,Gain,Total
2020-12-31,,,3000
2021-01-01,,,3000
2021-01-02,,,3000
2021-01-03,,,3000
2021-01-04,,,3000
2021-01-05,BA,122.21999999999986,3122.22
2021-01-06,,,3122.22
2021-01-07,,,3122.22
2021-01-08,,,3122.22
2021-01-09,,,3122.22
2021-01-10,,,3122.22
2021-01-11,,,3122.22
2021-01-12,,,3122.22
2021-01-13,,,3122.22
2021-01-14,,,3122.22
2021-01-15,,,3122.22
2021-01-16,,,3122.22
2021-01-17,,,3122.22
2021-01-18,,,3122.22
2021-01-19,,,3122.22
2021-01-20,,,3122.22
2021-01-21,,,3122.22
2021-01-22,HON,-44.69999999999985,3077.52
2021-01-23,,,3077.52
2021-01-24,PG,-37.260000000000105,3040.2599999999998
2021-01-25,,,3040.2599999999998
2021-01-26,,,3040.2599999999998
2021-01-27,,,3040.2599999999998
2021-01-28,,,3040.2599999999998
2021-01-29,V,-74.54999999999998,2965.7099999999996
2021-01-30,,,2965.7099999999996
2021-01-31,GS,223.29999999999984,3189.0099999999993
2021-02-01,,,3189.0099999999993
2021-02-02,,,3189.0099999999993
2021-02-03,,,3189.0099999999993
2021-02-04,,,3189.0099999999993
2021-02-05,,,3189.0099999999993
2021-02-06,,,3189.0099999999993
2021-02-07,UNH,69.39000000000033,3258.3999999999996
2021-02-08,,,3258.3999999999996
2021-02-09,,,3258.3999999999996
2021-02-10,,,3258.3999999999996
2021-02-11,,,3258.3999999999996
2021-02-12,,,3258.3999999999996
2021-02-13,,,3258.3999999999996
2021-02-14,,,3258.3999999999996
2021-02-15,,,3258.3999999999996
2021-02-16,,,3258.3999999999996
2021-02-17,,,3258.3999999999996
2021-02-18,,,3258.3999999999996
2021-02-19,,,3258.3999999999996
2021-02-20,,,3258.3999999999996
2021-02-21,,,3258.3999999999996
2021-02-22,,,3258.3999999999996
2021-02-23,,,3258.3999999999996
2021-02-24,,,3258.3999999999996
2021-02-25,,,3258.3999999999996
2021-02-26,,,3258.3999999999996
2021-02-27,,,3258.3999999999996
2021-02-28,,,3258.3999999999996
2021-03-01,AAPL,169.78000000000003,3428.18
2021-03-02,,,3428.18
2021-03-03,CRM,-119.51999999999998,3308.66
2021-03-04,,,3308.66
2021-03-05,,,3308.66
2021-03-06,,,3308.66
2021-03-07,,,3308.66
2021-03-08,,,3308.66
2021-03-09,,,3308.66
2021-03-10,CRM,-30.75000000000017,3277.91
2021-03-11,,,3277.91
2021-03-12,,,3277.91
2021-03-13,,,3277.91
2021-03-14,,,3277.91
2021-03-15,,,3277.91
2021-03-16,,,3277.91
2021-03-17,,,3277.91
2021-03-18,,,3277.91
2021-03-19,,,3277.91
2021-03-20,V,149.40000000000012,3427.31
2021-03-21,,,3427.31
2021-03-22,,,3427.31
2021-03-23,,,3427.31
2021-03-24,,,3427.31
2021-03-25,,,3427.31
2021-03-26,,,3427.31
2021-03-27,,,3427.31
2021-03-28,,,3427.31
2021-03-29,,,3427.31
2021-03-30,,,3427.31
2021-03-31,,,3427.31
2021-04-01,,,3427.31
2021-04-02,,,3427.31
2021-04-03,,,3427.31
2021-04-04,,,3427.31
2021-04-05,,,3427.31
2021-04-06,GS,150.0999999999999,3577.41
2021-04-07,,,3577.41
2021-04-08,,,3577.41
2021-04-09,,,3577.41
2021-04-10,,,3577.41
2021-04-11,,,3577.41
2021-04-12,,,3577.41
2021-04-13,,,3577.41
2021-04-14,,,3577.41
2021-04-15,,,3577.41
2021-04-16,,,3577.41
