stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
WBA,39.88,75,39.88,0.0,2021-01-01,2021-01-02
VZ,58.75,51,58.53,-11.219999999999942,2021-01-03,2021-01-08
JPM,136.02,21,136.02,0.0,2021-01-09,2021-01-10
CRM,222.04,13,218.25,-49.2699999999999,2021-01-11,2021-01-12
CVX,93.34,31,93.25,-2.7900000000001057,2021-01-13,2021-01-14
WMT,146.97,19,144.64,-44.27000000000024,2021-01-15,2021-01-17
MSFT,212.65,13,224.97,160.1599999999999,2021-01-18,2021-01-22
HON,202.25,15,202.25,0.0,2021-01-23,2021-01-24
CRM,225.77,13,226.26,6.369999999999749,2021-01-25,2021-01-27
WMT,143.84,21,140.49,-70.34999999999988,2021-01-28,2021-01-31
GS,271.17,11,274.73,39.160000000000025,2021-02-01,2021-02-02
AXP,120.7,25,120.44,-6.500000000000128,2021-02-03,2021-02-04
AMGN,237.22,12,236.32,-10.800000000000068,2021-02-05,2021-02-06
NKE,145.11,20,145.11,0.0,2021-02-07,2021-02-08
UNH,324.34,9,329.63,47.610000000000184,2021-02-09,2021-02-10
CSCO,47.24,64,47.29,3.199999999999818,2021-02-11,2021-02-14
KO,50.69,60,50.69,0.0,2021-02-15,2021-02-16
VZ,54.15,56,56.99,159.0400000000002,2021-02-17,2021-02-18
KO,50.77,63,50.11,-41.58000000000023,2021-02-19,2021-02-20
CSCO,45.68,69,45.68,0.0,2021-02-21,2021-02-22
PG,126.58,25,127.66,26.999999999999957,2021-02-23,2021-02-25
INTC,60.4,53,60.78,20.140000000000136,2021-02-26,2021-02-28
CSCO,44.87,71,45.515,45.79500000000022,2021-03-01,2021-03-03
WBA,47.63,68,46.86,-52.36000000000021,2021-03-04,2021-03-05
BA,223.22,14,223.22,0.0,2021-03-06,2021-03-08
CVX,109.75,29,109.5,-7.25,2021-03-09,2021-03-10
UNH,349.6,9,353.1,31.5,2021-03-11,2021-03-12
DIS,197.16,16,197.16,0.0,2021-03-13,2021-03-14
PG,128.14,25,128.56,10.500000000000398,2021-03-15,2021-03-16
MCD,219.86,14,224.11,59.5,2021-03-17,2021-03-18
TRV,156.83,21,149.3,-158.13000000000002,2021-03-19,2021-03-22
MMM,189.47,16,188.33,-18.23999999999978,2021-03-23,2021-03-24
JNJ,161.91,19,164.93,57.380000000000194,2021-03-25,2021-03-27
MRK,77.39,41,77.39,0.0,2021-03-28,2021-03-29
WBA,52.85,60,55.58,163.7999999999998,2021-03-30,2021-04-08
CAT,230.48,14,230.75,3.7800000000001432,2021-04-09,2021-04-11
MSFT,255.85,13,259.5,47.450000000000074,2021-04-12,2021-04-16
CRM,231.91,14,231.91,0.0,2021-04-17,2021-04-18
MCD,233.08,14,233.01,-0.9800000000003024,2021-04-19,2021-04-21
WMT,141.2,24,139.67,-36.72000000000003,2021-04-22,2021-04-23
UNH,400.31,8,400.31,0.0,2021-04-24,2021-04-25
CSCO,51.91,64,51.11,-51.19999999999982,2021-04-26,2021-04-29
JPM,155.19,21,153.81,-28.979999999999905,2021-04-30,2021-05-01
CRM,230.32,14,230.32,0.0,2021-05-02,2021-05-03
CSCO,51.17,64,50.71,-29.440000000000055,2021-05-04,2021-05-05
WMT,140.05,23,140.2,3.449999999999477,2021-05-06,2021-05-08
HD,339.25,9,341.12,16.83000000000004,2021-05-09,2021-05-11
MSFT,246.23,13,243.03,-41.59999999999985,2021-05-12,2021-05-14
MRK,78.29,41,78.29,0.0,2021-05-15,2021-05-16
HON,227.36,14,222.32,-70.56000000000029,2021-05-17,2021-05-19
WBA,54.81,57,54.6,-11.970000000000049,2021-05-20,2021-05-21
AMGN,251.01,12,251.01,0.0,2021-05-22,2021-05-23
TRV,159.08,19,160.89,34.3899999999995,2021-05-24,2021-06-02
HD,313.23,10,311.01,-22.200000000000273,2021-06-03,2021-06-07
MSFT,253.81,12,253.59,-2.6399999999999864,2021-06-08,2021-06-10
UNH,401.49,7,397.89,-25.20000000000016,2021-06-11,2021-06-12
MRK,76.27,41,76.27,0.0,2021-06-13,2021-06-14
