Date,Stock,Gain,Total
2020-12-31,,,3000
2021-01-01,WBA,0.0,3000.0
2021-01-02,,,3000.0
2021-01-03,VZ,-11.219999999999942,2988.78
2021-01-04,,,2988.78
2021-01-05,,,2988.78
2021-01-06,,,2988.78
2021-01-07,,,2988.78
2021-01-08,,,2988.78
2021-01-09,JPM,0.0,2988.78
2021-01-10,,,2988.78
2021-01-11,CRM,-49.2699999999999,2939.51
2021-01-12,,,2939.51
2021-01-13,CVX,-2.7900000000001057,2936.7200000000003
2021-01-14,,,2936.7200000000003
2021-01-15,WMT,-44.27000000000024,2892.45
2021-01-16,,,2892.45
2021-01-17,,,2892.45
2021-01-18,MSFT,160.1599999999999,3052.6099999999997
2021-01-19,,,3052.6099999999997
2021-01-20,,,3052.6099999999997
2021-01-21,,,3052.6099999999997
2021-01-22,,,3052.6099999999997
2021-01-23,HON,0.0,3052.6099999999997
2021-01-24,,,3052.6099999999997
2021-01-25,CRM,6.369999999999749,3058.9799999999996
2021-01-26,,,3058.9799999999996
2021-01-27,,,3058.9799999999996
2021-01-28,WMT,-70.34999999999988,2988.6299999999997
2021-01-29,,,2988.6299999999997
2021-01-30,,,2988.6299999999997
2021-01-31,,,2988.6299999999997
2021-02-01,GS,39.160000000000025,3027.7899999999995
2021-02-02,,,3027.7899999999995
2021-02-03,AXP,-6.500000000000128,3021.2899999999995
2021-02-04,,,3021.2899999999995
2021-02-05,AMGN,-10.800000000000068,3010.4899999999993
2021-02-06,,,3010.4899999999993
2021-02-07,NKE,0.0,3010.4899999999993
2021-02-08,,,3010.4899999999993
2021-02-09,UNH,47.61000000000018,3058.0999999999995
2021-02-10,,,3058.0999999999995
2021-02-11,CSCO,3.199999999999818,3061.2999999999993
2021-02-12,,,3061.2999999999993
2021-02-13,,,3061.2999999999993
2021-02-14,,,3061.2999999999993
2021-02-15,KO,0.0,3061.2999999999993
2021-02-16,,,3061.2999999999993
2021-02-17,VZ,159.0400000000002,3220.3399999999992
2021-02-18,,,3220.3399999999992
2021-02-19,KO,-41.58000000000023,3178.759999999999
2021-02-20,,,3178.759999999999
2021-02-21,CSCO,0.0,3178.759999999999
2021-02-22,,,3178.759999999999
2021-02-23,PG,26.99999999999996,3205.759999999999
2021-02-24,,,3205.759999999999
2021-02-25,,,3205.759999999999
2021-02-26,INTC,20.140000000000136,3225.899999999999
2021-02-27,,,3225.899999999999
2021-02-28,,,3225.899999999999
2021-03-01,CSCO,45.79500000000022,3271.6949999999993
2021-03-02,,,3271.6949999999993
2021-03-03,,,3271.6949999999993
2021-03-04,WBA,-52.36000000000021,3219.334999999999
2021-03-05,,,3219.334999999999
2021-03-06,BA,0.0,3219.334999999999
2021-03-07,,,3219.334999999999
2021-03-08,,,3219.334999999999
2021-03-09,CVX,-7.25,3212.084999999999
2021-03-10,,,3212.084999999999
2021-03-11,UNH,31.5,3243.584999999999
2021-03-12,,,3243.584999999999
2021-03-13,DIS,0.0,3243.584999999999
2021-03-14,,,3243.584999999999
2021-03-15,PG,10.500000000000398,3254.0849999999996
2021-03-16,,,3254.0849999999996
2021-03-17,MCD,59.5,3313.5849999999996
2021-03-18,,,3313.5849999999996
2021-03-19,TRV,-158.13000000000002,3155.4549999999995
2021-03-20,,,3155.4549999999995
2021-03-21,,,3155.4549999999995
2021-03-22,,,3155.4549999999995
2021-03-23,MMM,-18.23999999999978,3137.2149999999997
2021-03-24,,,3137.2149999999997
2021-03-25,JNJ,57.380000000000194,3194.595
2021-03-26,,,3194.595
2021-03-27,,,3194.595
